Code_Commune,Nom_Commune,Nom_Wilaya,Column 4
C-1,Adrar-Ville,Adrar,
C-2,Aïn Defla-Ville,Aïn Defla,
C-3,Aïn Témouchent-Ville,Aïn Témouchent,
C-4,Aïn Benian,Alger,
C-5,Aïn Taya,Alger,
C-6,Alger-Centre,Alger,
C-7,Bab El Oued,Alger,
C-8,Bab Ezzouar,Alger,
C-9,Baba Hassen,Alger,
C-10,Bachdjerrah,Alger,
C-11,Baraki,Alger,
C-12,Belouizdad,Alger,
C-13,Ben Aknoun,Alger,
C-14,Beni Messous,Alger,
C-15,Bir Mourad Raïs,Alger,
C-16,Birkhadem,Alger,
C-17,Birtouta,Alger,
C-18,Bologhine,Alger,
C-19,Bordj El Bahri,Alger,
C-20,Bordj El Kiffan,Alger,
C-21,Bourouba,Alger,
C-22,Bouzareah,Alger,
C-23,Casbah,Alger,
C-24,Cheraga,Alger,
C-25,Dar El Beïda,Alger,
C-26,Dely Ibrahim,Alger,
C-27,Djasr Kasentina,Alger,
C-28,Douera,Alger,
C-29,Draria,Alger,
C-30,El Achour,Alger,
C-31,El Biar,Alger,
C-32,El Harrach,Alger,
C-33,El Madania,Alger,
C-34,El Magharia,Alger,
C-35,El Marsa,Alger,
C-36,El Mouradia,Alger,
C-37,H'raoua,Alger,
C-38,Hammamet,Alger,
C-39,Hussein Dey,Alger,
C-40,Hydra,Alger,
C-41,Khraicia,Alger,
C-42,Kouba,Alger,
C-43,Les Eucalyptus,Alger,
C-44,Mahelma,Alger,
C-45,Mohammadia,Alger,
C-46,Oued Koriche,Alger,
C-47,Oued Smar,Alger,
C-48,Ouled Chebel,Alger,
C-49,Ouled Fayet,Alger,
C-50,Rahmania,Alger,
C-51,Raïs Hamidou,Alger,
C-52,Reghaïa,Alger,
C-53,Rouïba,Alger,
C-54,Saoula,Alger,
C-55,Sidi M'Hamed,Alger,
C-56,Sidi Moussa,Alger,
C-57,Souidania,Alger,
C-58,Staoueli,Alger,
C-59,Tessala El Merdja,Alger,
C-60,Zeralda,Alger,
C-61,Annaba-Ville,Annaba,
C-62,Batna-Ville,Batna,
C-63,Béchar-Ville,Béchar,
C-64,Bejaïa-Ville,Bejaïa,
C-65,Béni Abbès-Ville,Béni Abbès,
C-66,Biskra-Ville,Biskra,
C-67,Blida-Ville,Blida,
C-68,Bordj Badji Mokhtar-Ville,Bordj Badji Mokhtar,
C-69,Bordj Bou Arreridj-Ville,Bordj Bou Arreridj,
C-70,Bouira-Ville,Bouira,
C-71,Boumerdès-Ville,Boumerdès,
C-72,Chlef-Ville,Chlef,
C-73,Constantine-Ville,Constantine,
C-74,Djanet-Ville,Djanet,
C-75,Djelfa-Ville,Djelfa,
C-76,El Bayadh-Ville,El Bayadh,
C-77,El M'Ghair-Ville,El M'Ghair ,
C-78,El Meniaa-Ville,El Meniaa,
C-79,El Oued-Ville,El Oued,
C-80,El Tarf-Ville,El Tarf,
C-81,Ghardaia-Ville,Ghardaia,
C-82,Guelma-Ville,Guelma,
C-83,Illizi-Ville,Illizi,
C-84,In Guezzam-Ville,In Guezzam,
C-85,In Salah-Ville,In Salah,
C-86,Jijel-Ville,Jijel,
C-87,Khenchela-Ville,Khenchela,
C-88,Laghouat-Ville,Laghouat,
C-89,M'Sila-Ville,M'Sila,
C-90,Mascara-Ville,Mascara,
C-91,Médéa-Ville,Médéa,
C-92,Mila-Ville,Mila,
C-93,Mostaganem-Ville,Mostaganem,
C-94,Naâma-Ville,Naâma,
C-95,Oran-Ville,Oran,
C-96,Ouargla-Ville,Ouargla,
C-97,Ouled Djellal-Ville,Ouled Djellal,
C-98,Oum El Bouaghi-Ville,Oum El Bouaghi,
C-99,Relizane-Ville,Relizane,
C-100,Saïda-Ville,Saïda,
C-101,Sétif-Ville,Sétif,
C-102,Sidi Bel Abbès-Ville,Sidi Bel Abbès,
C-103,Skikda-Ville,Skikda,
C-104,Souk Ahras-Ville,Souk Ahras,
C-105,Tamanrasset-Ville,Tamanrasset,
C-106,Tebessa-Ville,Tebessa,
C-107,Tiaret-Ville,Tiaret,
C-108,Timimoun-Ville,Timimoun,
C-109,Tindouf-Ville,Tindouf,
C-110,Tipaza-Ville,Tipaza,
C-111,Tissemsilt-Ville,Tissemsilt,
C-112,Tizi Ouzou-Ville,Tizi Ouzou,
C-113,Tlemcen-Ville,Tlemcen,
C-114,Touggourt-Ville,Touggourt,
C-115,Akbou,Bejaïa,
C-116,Amizour,Bejaïa,